record_id,education,age,state,district,current_occupation,experience_years,existing_skills,interest,career_goal,recommended_qualification,sector,nsqf_level,minimum_education,recommended_skills,skill_gaps,job_role,livelihood_type,match_score
11,8th,50,West Bengal,Siliguri,Domestic Worker,0,"communication; tourism; time management",communication,Entrepreneurship,Tourism & Hospitality Associate,Tourism & Hospitality,4,10th,"hospitality; customer service; communication; tourism","hospitality; customer service",Hospitality Associate,Job,78.2
12,12th,19,Rajasthan,Jodhpur,Retail Worker,0,"waste management; safety; teamwork",waste management,Entrepreneurship,Waste Collection Worker,Environmental Services,2,5th,"waste management; cleaning; safety; sorting","cleaning; sorting",Waste Collection Worker,Job,77.3
13,Diploma,26,Rajasthan,Kota,Domestic Worker,0,"communication; sales; time management",sales,Skill training,Retail Sales Associate,Retail,4,10th,"sales; customer service; billing; communication","customer service; billing",Retail Sales Associate,Job,78.6
14,12th,41,West Bengal,Howrah,Farm Worker,3,"delivery; navigation; teamwork",driving,Skill training,Delivery Associate,Logistics,3,10th,"driving; delivery; navigation; customer service","driving; customer service",Delivery Associate,Job/Self-employment,78.3
15,UG,21,Karnataka,Mysuru,Unemployed,1,"sewing; stitching; tailoring; garment making; communication",sewing,Self-employment,Sewing Machine Operator,Apparel,3,8th,"tailoring; sewing; stitching; garment making",advanced practice,Sewing Machine Operator,Job/Self-employment,97.4
16,12th,44,Maharashtra,Nashik,Farm Worker,1,"tools; automobile; vehicle repair; mechanics; basic computer",vehicle repair,Job,Automotive Service Technician,Automotive,4,10th,"automobile; mechanics; vehicle repair; tools",advanced practice,Automotive Service Technician,Job,99.0
17,12th,39,Maharashtra,Mumbai Suburban,Daily Wage Worker,0,"driving; navigation; customer service; communication",navigation,Self-employment,Delivery Associate,Logistics,3,10th,"driving; delivery; navigation; customer service",delivery,Delivery Associate,Job/Self-employment,92.2
18,Diploma,24,Uttar Pradesh,Lucknow,Farm Worker,0,"farm equipment; farming; crops; problem solving",farming,Job,Agriculture Field Technician,Agriculture,4,10th,"farming; agriculture; crops; farm equipment",agriculture,Agriculture Field Technician,Job/Self-employment,90.5
19,12th,18,Bihar,Gaya,Technician,2,"design; handicraft; basic computer",art,Self-employment,Handicraft Artisan,Handicrafts & Carpets,3,8th,"handicraft; art; craft; design","art; craft",Handicraft Artisan,Self-employment,84.5
20,5th,55,Uttar Pradesh,Sitapur,Driver,4,"communication; computer; typing; office work; basic computer",computer,Job,Office Assistant,Office Administration & Facility Management,4,12th,"computer; office work; typing; communication",advanced practice,Office Assistant,Job,97.3
21,Diploma,22,Andhra Pradesh,Visakhapatnam,Small Business Owner,1,"mobile repair; electronics; soldering; repair; communication",electronics,Self-employment,Mobile Phone Hardware Repair Technician,Electronics & HW,4,10th,"electronics; mobile repair; soldering; repair",advanced practice,Mobile Repair Technician,Job/Self-employment,99.0
22,Diploma,51,Karnataka,Hubballi-Dharwad,Daily Wage Worker,2,"haircare; customer service",customer service,Entrepreneurship,Beauty & Wellness Assistant,Beauty & Wellness,3,8th,"beauty; hygiene; customer service; haircare","beauty; hygiene",Beauty & Wellness Assistant,Job,81.3
23,10th,22,Tamil Nadu,Madurai,Small Business Owner,0,"mechanics; vehicle repair; tools; problem solving",vehicle repair,Skill training,Automotive Service Technician,Automotive,4,10th,"automobile; mechanics; vehicle repair; tools",automobile,Automotive Service Technician,Job,90.5
24,5th,33,Rajasthan,Udaipur,Technician,2,"installation; solar; teamwork",installation,Self-employment,Solar PV Installer,Power,4,10th,"solar; electrical; installation; safety","electrical; safety",Solar PV Installer,Job/Self-employment,86.2
25,8th,29,Kerala,Kochi,Worker,2,"cooking; food processing; hygiene",food processing,Job,Seafood Processing Technician,Food Processing,3,8th,"food processing; cold chain; packaging; hygiene",packaging,Seafood Processing Technician,Job,88.4
26,10th,27,Odisha,Bhubaneswar,Artisan,3,"craft; handicraft; art",handicraft,Self-employment,Handicraft Artisan,Handicrafts & Carpets,3,8th,"handicraft; art; craft; design",design,Handicraft Artisan,Self-employment,91.2
27,10th,25,Tamil Nadu,Theni,Stitching Worker,2,"tailoring; sewing; stitching; garment finishing",tailoring,Self-employment,Sewing Machine Operator,Apparel,4,8th,"tailoring; sewing; stitching; garment making; pattern cutting",advanced practice,Sewing Machine Operator,Job/Self-employment,98.5
28,12th,23,Karnataka,Bengaluru Urban,Student,1,"computer; basic programming; electrical",electrical,Job,Assistant Electrician,Power,3,8th,"electrical; wiring; repair; tools",wiring,Assistant Electrician,Job,92.0
29,10th,26,Maharashtra,Pune,Helper,1,"cooking; food processing; hygiene",food processing,Job,Food Processing Worker,Food Processing,3,8th,"cooking; food processing; packaging; hygiene",advanced practice,Food Processing Worker,Job,95.0
30,10th,28,Tamil Nadu,Theni,Driver,3,"driving; automobile; mechanics",automobile,Job,Automotive Service Technician,Automotive,4,10th,"automobile; mechanics; vehicle repair; tools",mechanics,Automotive Service Technician,Job,96.2
