opportunity_id,state,district,block,organization,sector,job_role,opportunity_type,latitude,longitude,minimum_education,nsqf_level,required_skills,salary_min,salary_max,openings,training_available,training_provider,contact,source,last_updated
OP011,Tamil Nadu,Madurai,Madurai,Madurai Women Wellness Hub,Beauty & Wellness,Assistant Beauty Therapist,Self-employment support,9.9280,78.1250,8th,3,"beauty; skin care; hair styling; bridal grooming",15000,24000,15,true,Women Development Corp Madurai,Project Manager,demo,2026-09-11
OP012,Tamil Nadu,Madurai,Thirumangalam,SunEdison Rooftop Solar Division,Power,Solar PV Installer,Job,9.8240,77.9890,10th,4,"solar; electrical; solar panel installation; inverter wiring",16000,26000,14,true,National Apprenticeship Portal,Solar Project Lead,demo,2026-09-11
OP013,Tamil Nadu,Coimbatore,Coimbatore North,PSG Industrial Skill Center,Automotive,Automotive Service Technician,Training,11.0168,76.9558,10th,4,"automobile; mechanics; vehicle repair; tools; precision fitting",18000,28000,20,true,PSG Industrial Institute,Skill Coordinator,demo,2026-09-11
OP014,Tamil Nadu,Coimbatore,Peelamedu,Aqua Submersible Pumps Unit,Power,Submersible Pump Assembler,Job,11.0080,76.9420,10th,4,"electrical; motor winding; assembly; testing",17000,26000,16,true,Coimbatore Power Training Hub,HR Operations,demo,2026-09-11
OP015,Tamil Nadu,Coimbatore,Pollachi,Pollachi Coir & Textile Collective,Apparel,Custom Tailoring & Fashion Specialist,Self-employment support,10.6580,77.0080,8th,4,"tailoring; embroidery; boutique setup; garment finishing",16000,25000,18,true,Pollachi Artisan Center,Cluster Officer,demo,2026-09-11
OP016,Tamil Nadu,Chennai,Ambattur,ABC Logistics Park Ambattur,Logistics,Warehouse Associate,Job,13.0827,80.2707,10th,3,"warehouse; inventory; packing; logistics; barcode scanning",16000,24000,35,true,Chennai Logistics Academy,HR Logistics,demo,2026-09-11
OP017,Tamil Nadu,Chennai,Guindy,Electronics Hardware Service Hub,Electronics,Mobile Phone Hardware Repair Technician,Self-employment support,13.0067,80.2206,10th,4,"electronics; mobile repair; soldering; hardware diagnostics",17000,28000,12,true,NIELIT Chennai Centre,Course Director,demo,2026-09-11
OP018,Tamil Nadu,Chennai,Sriperumbudur,Automotive Assembly Plant Supplier,Automotive,Automotive Assembly Operator,Job,12.9680,79.9450,10th,4,"automobile; vehicle assembly; pneumatic tools; quality inspection",19000,30000,25,false,"",HR Operations,demo,2026-09-11
OP019,Tamil Nadu,Chennai,Nungambakkam,Retail Supermarket Chain,Retail,Retail Sales Associate,Job,13.0600,80.2450,10th,4,"sales; customer service; billing; communication; inventory",15000,22000,20,true,Retail Skill Council Partner,Store HR,demo,2026-09-11
OP020,Tamil Nadu,Chennai,Manapakkam,L&T Construction Training Institute,Construction,Construction Electrician,Job,13.0100,80.2100,8th,4,"electrical; construction; wiring; conduit piping; safety",17000,26000,30,true,L&T CSTI Manapakkam,Lead Trainer,demo,2026-09-11
OP021,Tamil Nadu,Salem,Salem,Steel Plant Fabrication Center,Construction,Fitter Fabrication & Welding,Training,11.6643,78.1460,8th,3,"welding; metal fabrication; grinding; gas cutting",15500,23000,20,true,SAIL Skill Development Centre,Training Officer,demo,2026-09-11
OP022,Tamil Nadu,Salem,Attur,SAGOSERVE Agro Starch Unit,Food Processing,Food Processing Worker,Job,11.5950,78.5980,8th,2,"cooking; food processing; packaging; machine operation",13500,20000,15,false,"",Plant Manager,demo,2026-09-11
OP023,Tamil Nadu,Salem,Sankari,Salem District Poultry & Dairy Hub,Agriculture,Poultry & Dairy Farmer,Self-employment support,11.4820,77.8680,8th,3,"agriculture; cattle care; poultry care; feed management",17000,25000,22,true,Animal Husbandry Dept Salem,Veterinary Officer,demo,2026-09-11
OP024,Tamil Nadu,Tiruppur,Tiruppur,NIFT-TEA Knitwear Institute,Apparel,Sewing Machine Operator - Knits,Training,11.1085,77.3411,8th,4,"tailoring; overlock sewing; flatlock stitching; garment finishing",16000,24000,40,true,NIFT-TEA Fashion Institute,Admissions Dean,demo,2026-09-11
OP025,Tamil Nadu,Tiruppur,Angeripalayam,Poppys Knitwear Export Factory,Apparel,Garment Quality Controller,Job,11.0980,77.3320,10th,4,"tailoring; quality inspection; fabric testing; finishing",17500,26000,18,false,"",HR Manager,demo,2026-09-11
OP026,Tamil Nadu,Erode,Perundurai,Mahindra Farm Equipment Hub,Automotive,Tractor & Farm Equipment Service Technician,Job,11.2780,77.5850,10th,4,"automobile; welding; engine repair; electrical; farm equipment",17000,26000,10,true,Erode Technical Center,Service Manager,demo,2026-09-11
OP027,Tamil Nadu,Erode,Erode,Erode Turmeric Processing Cluster,Food Processing,Spice Processing Technician,Skill development centre,11.3410,77.7172,8th,3,"food processing; grinding; packaging; quality inspection",14000,21000,20,true,Turmeric Merchants Association,Cluster Incharge,demo,2026-09-11
OP028,Tamil Nadu,Dindigul,Dindigul,Gandhigram Rural Institute Food Unit,Food Processing,Food Products Packaging Operator,Training,10.3673,77.9803,8th,3,"food processing; packaging; hygiene standards; quality testing",14500,22000,25,true,Gandhigram Rural Institute,Course Head,demo,2026-09-11
OP029,Tamil Nadu,Tiruchirappalli,Trichy,BHEL Ancillary Fabrication Society,Construction,Fitter & Welder,Job,10.7905,78.7047,10th,4,"welding; metal fabrication; assembly; blueprint reading",18000,27000,16,true,Trichy MSME Hub,Industrial Liaison,demo,2026-09-11
OP030,Tamil Nadu,Tirunelveli,Tirunelveli,Wind & Solar Green Energy Tech,Power,Solar PV Installer,Job,8.7139,77.7567,10th,4,"solar; electrical; installation; maintenance; safety",16500,25000,12,true,Tirunelveli Renewable Training Center,HR Renewable,demo,2026-09-11
OP031,Karnataka,Bengaluru Urban,Bengaluru East,Bengaluru Power Skill Centre,Power,Assistant Electrician,Job,12.9716,77.5946,8th,3,"electrical; wiring; repair; tools; domestic electricals",15000,23000,30,true,Bengaluru Power Skills Academy,Training Coordinator,demo,2026-09-11
OP032,Karnataka,Bengaluru Urban,Peenya,Peenya Electronics Assembly Unit,Electronics,PCB Assembly Technician,Job,12.9850,77.6050,10th,4,"electronics; soldering; electrical; quality testing; pcb assembly",18000,28000,22,true,Peenya Skill Foundation,Operations Lead,demo,2026-09-11
OP033,Karnataka,Bengaluru Urban,Bengaluru North,North Bengaluru Logistics Park,Logistics,Warehouse Associate,Job,13.0827,77.5877,10th,3,"warehouse; inventory; packing; logistics; material handling",17000,26000,45,false,"",HR Head Logistics,demo,2026-09-11
OP034,Karnataka,Bengaluru Urban,Koramangala,Karnataka Digital Skills Hub,IT/ITeS,Data Analytics & Digital Operations Assistant,Training,12.9350,77.6200,12th,5,"computer; data entry; ms office; typing; communication",19000,30000,25,true,KSDC Bangalore Center,Program Director,demo,2026-09-11
OP035,Karnataka,Bengaluru Urban,Whitefield,Whitefield IT Tech Support Services,IT/ITeS,IT Support Assistant,Job,12.9698,77.7500,12th,4,"computer; troubleshooting; networking; typing; customer support",18000,29000,20,true,Digital Karnataka Skills,Tech Support HR,demo,2026-09-11
OP036,Karnataka,Mysuru,Mysuru,KSIC Silk Weaving Academy,Apparel,Jacquard Silk Weaver / Garment Finisher,Training,12.2958,76.6394,8th,3,"tailoring; textile weaving; hand stitching; garment finishing",14000,22000,22,true,Karnataka Silk Industries Corp,Master Weaver,demo,2026-09-11
OP037,Karnataka,Mysuru,Nanjangud,Nanjangud Auto Ancillary Unit,Automotive,Automotive Service Technician,Job,12.1200,76.6800,10th,4,"automobile; mechanics; vehicle repair; tools",16000,25000,14,false,"",Service Operations,demo,2026-09-11
OP038,Karnataka,Hubballi-Dharwad,Hubballi,North Karnataka Wellness Hub,Beauty & Wellness,Beauty & Wellness Assistant,Job,15.3647,75.1240,8th,3,"beauty; hygiene; customer service; haircare; facial",13000,21000,12,true,Hubballi Wellness Center,Salon Incharge,demo,2026-09-11
OP039,Karnataka,Belagavi,Belagavi,Belagavi Foundry & Machining Center,Construction,CNC Operator Turning & Milling,Job,15.8497,74.4977,10th,4,"cnc machining; tool setting; blueprint reading; welding",17500,27000,15,true,Belagavi Skill Hub,Plant Engineer,demo,2026-09-11
OP040,Karnataka,Mangaluru,Mangaluru,Coastal Food & Marine Packaging,Food Processing,Seafood & Agro Packaging Worker,Job,12.9141,74.8560,8th,3,"food processing; cold chain; packaging; hygiene",15000,23000,18,true,Marine Skill Center Mangaluru,Facility Head,demo,2026-09-11
OP041,Andhra Pradesh,Vijayawada,Vijayawada,Vijayawada BFSI Customer Care Hub,BFSI,Customer Service Executive,Job,16.5062,80.6480,12th,4,"banking; finance; customer service; computer; communication",16000,26000,25,true,Vijayawada BFSI Academy,HR Manager,demo,2026-09-11
OP042,Andhra Pradesh,Vijayawada,Auto Nagar,Auto Nagar Commercial Fleet Hub,Automotive,Electric Vehicle Service Lead,Job,16.5120,80.6550,10th,4,"electrical; automotive; battery servicing; ev maintenance",18000,28000,14,true,Auto Nagar Skill Hub,Fleet Supervisor,demo,2026-09-11
OP043,Andhra Pradesh,Visakhapatnam,Visakhapatnam,Vizag Electronics Hardware Hub,Electronics,Mobile Phone Hardware Repair Technician,Self-employment support,17.6868,83.2185,10th,4,"electronics; mobile repair; soldering; hardware diagnostics",15000,27000,16,true,APSSDC Vizag Skill College,Skill Center Officer,demo,2026-09-11
OP044,Andhra Pradesh,Visakhapatnam,Gajuwaka,Steel City Metal Fabrication Unit,Construction,Manual Metal Arc Welder,Job,17.6950,83.1850,8th,3,"welding; metal fabrication; grinding; safety operations",16000,25000,20,true,AP Skill Mission Center,Welding Master,demo,2026-09-11
OP045,Andhra Pradesh,Guntur,Guntur,Guntur Chilli & Spice Agro Unit,Food Processing,Spice Grinding & Packing Operator,Job,16.3067,80.4365,8th,3,"farming; agriculture; food processing; packaging; grading",15000,24000,20,true,Guntur Market Committee Skills,Market Secretary,demo,2026-09-11
OP046,Andhra Pradesh,Vizianagaram,Vizianagaram,APSSDC Youth Training Center,Apparel,Sewing Machine Operator,Training,18.1067,83.3956,8th,4,"tailoring; sewing; hand stitching; garment finishing",14000,21000,28,true,APSSDC Vizianagaram Center,District Coordinator,demo,2026-09-11
OP047,Andhra Pradesh,Vizianagaram,Nellimarla,Nellimarla Jute & Bag Enterprise,Handicrafts,Jute Artisan & Bag Manufacturer,Self-employment support,18.1650,83.4350,8th,3,"handicraft; jute bag making; weaving; boutique setup",15000,22000,18,true,AP Handicrafts Development Corp,Lepakshi Incharge,demo,2026-09-11
OP048,Andhra Pradesh,Tirupati,Tirupati,Pilgrim City Hospitality Services,Tourism & Hospitality,Food & Beverage Service Steward,Job,13.6288,79.4192,10th,4,"hospitality; customer service; hygiene; food service",16000,24000,22,true,TTD Hospitality Skill Partner,Operations Head,demo,2026-09-11
OP049,Andhra Pradesh,Kurnool,Kurnool,Kurnool Solar & Agri Services,Power,Solar PV Installer,Job,15.8281,78.0373,10th,4,"solar; electrical; installation; farm power systems",16000,25000,15,true,Rayalaseema Skill Centre,Solar Engineer,demo,2026-09-11
OP050,Telangana,Hyderabad,Serilingampally,Hyderabad Digital Solutions Hub,IT/ITeS,IT Support Assistant,Job,17.4435,78.3772,12th,4,"computer; troubleshooting; communication; typing; networking",19000,31000,30,true,Telangana Academy for Skill (TASK),TASK Coordinator,demo,2026-09-11
OP051,Telangana,Hyderabad,Secunderabad,Secunderabad Automotive Hub,Automotive,Automotive Service Technician,Job,17.4399,78.4983,10th,4,"automobile; mechanics; vehicle repair; tools",18000,28000,15,false,"",Service Manager,demo,2026-09-11
OP052,Telangana,Hyderabad,Sanathnagar,Telangana Pharma Logistics Hub,Logistics,Warehouse Associate,Job,17.4550,78.4420,10th,3,"warehouse; inventory; packing; logistics; cold chain",17000,26000,25,true,Logistics Skill Council TS,Warehouse Head,demo,2026-09-11
OP053,Telangana,Warangal,Hanamkonda,Kakatiya Woodcraft Collective,Handicrafts,Carpenter & Woodwork Artisan,Self-employment support,17.9689,79.5941,8th,3,"carpentry; woodwork; furniture; tools; handicraft",15000,25000,16,true,Warangal Artisan Center,District Officer,demo,2026-09-11
OP054,Telangana,Nizamabad,Nizamabad,Nizamabad Wellness & Parlour Hub,Beauty & Wellness,Beauty & Wellness Assistant,Job,18.6725,78.0941,8th,3,"beauty; hygiene; customer service; haircare; bridal",13000,20000,14,true,Nizamabad Skill Academy,Lead Beautician,demo,2026-09-11
OP055,Telangana,Karimnagar,Karimnagar,Karimnagar Solar Green Energy Unit,Power,Solar PV Installer,Job,18.4386,79.1288,10th,4,"solar; electrical; wiring; safety; panel installation",16000,25000,12,true,TS Solar Mission Partner,Project Engineer,demo,2026-09-11
OP056,Maharashtra,Pune,Pimpri-Chinchwad,Pune Auto Works & Ancillary,Automotive,Automotive Service Technician,Job,18.6298,73.7997,10th,4,"automobile; mechanics; vehicle repair; tools; electrical",19000,31000,24,true,Pune Automotive Skill Center,HR Auto Works,demo,2026-09-11
OP057,Maharashtra,Pune,Hadapsar,Pune Food Processing Mega Park,Food Processing,Food Processing Worker,Job,18.5089,73.9259,8th,3,"cooking; food processing; packaging; hygiene; fssai standards",15000,23000,20,true,Maharashtra Food Processing Academy,Plant Incharge,demo,2026-09-11
OP058,Maharashtra,Pune,Shivajinagar,Pune BFSI Digital Customer Hub,BFSI,Customer Service Executive,Job,18.5314,73.8446,12th,4,"banking; finance; customer service; computer; communication",17500,28000,18,true,BFSI Skill Council Partner,Talent Acquisition,demo,2026-09-11
OP059,Maharashtra,Mumbai Suburban,Andheri,Mumbai Metro Express Logistics Hub,Logistics,Delivery Associate,Job,19.1197,72.8468,10th,3,"driving; delivery; navigation; customer service; barcode scan",17000,27000,40,false,"",Logistics Operations,demo,2026-09-11
OP060,Maharashtra,Mumbai City,Fort,Mumbai Heritage Office Facility Services,Office Administration,Office Assistant,Job,18.9322,72.8340,12th,4,"computer; office work; typing; communication; filing",18000,28000,15,true,NIELIT Mumbai Centre,Administrative Head,demo,2026-09-11
OP061,Maharashtra,Nashik,Nashik,Nashik Grape & Agro Processing Unit,Food Processing,Food Processing Worker,Job,20.0059,73.7910,8th,3,"cooking; food processing; packaging; hygiene; dehydration",14000,21000,20,true,Nashik Agro Skill Center,Director Agro,demo,2026-09-11
OP062,Maharashtra,Nagpur,Nagpur,Nagpur MIHAN Logistics & Admin Hub,Office Administration,Office Assistant & Data Associate,Job,21.1458,79.0882,12th,4,"computer; office work; typing; communication; data entry",16000,25000,18,true,Nagpur Skill Mission,Center Head,demo,2026-09-11
OP063,Maharashtra,Solapur,Solapur,Solapur Municipal PM-AJAY Cell,Beauty & Wellness,Assistant Beauty Therapist & Salon Entrepreneur,Self-employment support,17.6599,75.9064,8th,4,"beauty; skin care; hair styling; threading; salon management",16000,24000,20,true,Solapur Women Skill Hub,Project Officer,demo,2026-09-11
OP064,Maharashtra,Solapur,Solapur,Solapur Chaddar & Textile Weaving Unit,Apparel,Jacquard Loom Weaver & Tailor,Job,17.6700,75.9100,8th,3,"tailoring; textile weaving; sewing; pattern making",15000,23000,25,true,Solapur Handloom Society,Weaving Master,demo,2026-09-11
OP065,Maharashtra,Aurangabad,Chhatrapati Sambhajinagar,Aurangabad Auto Precision Cluster,Automotive,Automotive Service Technician,Job,19.8762,75.3433,10th,4,"automobile; mechanics; vehicle repair; tools; assembly",18000,28000,16,true,Marathwada Skill Center,Recruiter,demo,2026-09-11
OP066,Rajasthan,Jaipur,Jaipur,Jaipur BFSI Financial Advisory Hub,BFSI,Customer Service Executive,Job,26.9124,75.7873,12th,4,"banking; finance; customer service; computer; communication",16000,26000,30,true,Jaipur BFSI Academy,Branch HR,demo,2026-09-11
OP067,Rajasthan,Jaipur,Sitapura,Sitapura Export Garment Factory,Apparel,Sewing Machine Operator,Job,26.7800,75.8200,8th,3,"tailoring; sewing; stitching; garment making; quality check",15000,23000,35,true,RSLDC Jaipur Center,HR Garments,demo,2026-09-11
OP068,Rajasthan,Jodhpur,Jodhpur,Jodhpur Blue City Handicrafts Cluster,Handicrafts,Handicraft Artisan & Wood Carver,Self-employment support,26.2389,73.0243,8th,3,"handicraft; art; craft; design; wood carving",15000,26000,35,true,Jodhpur Artisan Development Center,Artisan Officer,demo,2026-09-11
OP069,Rajasthan,Udaipur,Udaipur,Mewar Green Energy Solutions,Power,Solar PV Installer,Job,24.5854,73.7125,10th,4,"solar; electrical; installation; safety; maintenance",16000,25000,15,true,Udaipur Solar Training Centre,Engineer Incharge,demo,2026-09-11
OP070,Rajasthan,Kota,Kota,Kota Retail Mart & Supercenter,Retail,Retail Sales Associate,Job,25.2138,75.8648,10th,4,"sales; customer service; billing; communication; pos billing",14500,22000,20,false,"",Store Manager,demo,2026-09-11
OP071,Rajasthan,Bikaner,Bikaner,Bikaner Bhujia & Sweets Processing,Food Processing,Food Processing Worker,Job,28.0229,73.3119,8th,3,"cooking; food processing; packaging; hygiene",14000,21000,22,true,Bikaner Agro Food Center,Production Head,demo,2026-09-11
OP072,Uttar Pradesh,Lucknow,Lucknow,Lucknow State Agriculture Services,Agriculture,Agriculture Field Technician,Job,26.8467,80.9462,10th,4,"farming; agriculture; crops; farm equipment; soil testing",16000,25000,20,true,Lucknow Krishi Vigyan Kendra,Agri Scientist,demo,2026-09-11
OP073,Uttar Pradesh,Lucknow,Alambagh,Lucknow Railway Yard Electricals,Power,Assistant Electrician,Job,26.8150,80.9100,8th,3,"electrical; wiring; repair; tools; power distribution",15500,24000,18,true,UP Skill Mission Center,Junior Engineer,demo,2026-09-11
OP074,Uttar Pradesh,Varanasi,Varanasi,Kashi Silk & Handloom Weaving Cluster,Handicrafts,Handicraft Artisan & Silk Weaver,Self-employment support,25.3176,82.9739,8th,3,"handicraft; art; craft; design; saree weaving",16000,27000,30,true,Varanasi Weavers Service Centre,Master Craftsman,demo,2026-09-11
OP075,Uttar Pradesh,Sitapur,Sitapur,Sitapur Krishi Vigyan Kendra Biomass Unit,Agriculture,Bio-Fertilizer & Vermicompost Producer,Self-employment support,27.5684,80.6829,8th,3,"agriculture; cattle care; soil preparation; organic farming",15000,22000,25,true,Sitapur KVK PM-AJAY Cell,KVK Coordinator,demo,2026-09-11
OP076,Uttar Pradesh,Kanpur Nagar,Kanpur,Kanpur Leather & Footwear Fabrication,Apparel,Footwear & Leather Stitching Operator,Job,26.4499,80.3319,8th,3,"tailoring; sewing; leather stitching; cutting; finishing",15000,23000,25,true,Footwear Design & Development Institute,Training Head,demo,2026-09-11
OP077,Uttar Pradesh,Noida,Noida,Noida Electronics Hardware Corridor,Electronics,Mobile Phone Hardware Repair Technician,Job,28.5355,77.3910,10th,4,"electronics; mobile repair; soldering; repair; diagnostics",18000,29000,20,true,NIELIT Noida Extension,Course Coordinator,demo,2026-09-11
OP078,Uttar Pradesh,Agra,Agra,Agra Tourism & Heritage Guide Services,Tourism & Hospitality,Tourism & Hospitality Associate,Job,27.1767,78.0081,10th,4,"hospitality; customer service; communication; tourism; guiding",16000,26000,15,true,Agra Tourism Academy,Lead Guide,demo,2026-09-11
OP079,Uttar Pradesh,Gorakhpur,Gorakhpur,Gorakhpur Health Care Facility,Healthcare,General Duty Assistant,Job,26.7606,83.3732,10th,3,"healthcare; patient care; hygiene; first aid; vital checks",15000,23000,20,true,Gorakhpur Nursing Skill Center,Medical Trainer,demo,2026-09-11
OP080,Bihar,Patna,Patna,Patna e-Governance Secretariat,Office Administration,Office Assistant & Data Entry Operator,Job,25.5941,85.1376,12th,4,"computer; office work; typing; communication; data entry",16000,25000,20,true,BSDM Kushal Yuva Kendra Patna,Center Manager,demo,2026-09-11
OP081,Bihar,Gaya,Gaya,Gaya Kushal Yuva Training Hub,IT/ITeS,Domestic Data Entry Operator,Training,24.7955,84.9994,10th,4,"computer; english typing; data entry; ms office",14500,22000,30,true,Bihar Skill Development Mission Gaya,Center Coordinator,demo,2026-09-11
OP082,Bihar,Gaya,Bodh Gaya,Bodh Gaya Stone & Wood Handicrafts,Handicrafts,Handicraft Artisan,Self-employment support,24.6950,84.9850,8th,3,"handicraft; art; craft; design; stone carving",15000,24000,20,true,Upendra Maharathi Shilp Sansthan,Artisan Master,demo,2026-09-11
OP083,Bihar,Muzaffarpur,Muzaffarpur,Muzaffarpur Litchi & Fruit Processing,Food Processing,Food Processing Worker,Job,26.1209,85.3647,8th,3,"cooking; food processing; packaging; hygiene",14000,21000,18,true,Muzaffarpur Agro Center,Agro Incharge,demo,2026-09-11
OP084,Bihar,Bhagalpur,Bhagalpur,Bhagalpur Silk Handloom Weavers Society,Apparel,Silk Fabric Weaving & Garment Finisher,Self-employment support,25.2425,86.9842,8th,3,"tailoring; textile weaving; sewing; pattern cutting",15000,23000,25,true,Weavers Service Centre Bhagalpur,Weaving Expert,demo,2026-09-11
OP085,West Bengal,Kolkata,Kolkata,Kolkata Apollo City Healthcare Clinic,Healthcare,General Duty Assistant,Job,22.5726,88.3639,10th,3,"healthcare; patient care; hygiene; first aid; vital signs",15500,24000,25,true,Kolkata Healthcare Skills Institute,Nursing Dean,demo,2026-09-11
OP086,West Bengal,Kolkata,Salt Lake,Salt Lake Digital Operations Unit,IT/ITeS,Domestic Data Entry Operator,Job,22.5850,88.4200,10th,4,"computer; data entry; ms office; typing; communication",16000,25000,20,true,PBSSD Kolkata Hub,Placement Lead,demo,2026-09-11
OP087,West Bengal,Siliguri,Siliguri,Siliguri Tea Processing & Packaging,Food Processing,Tea Blending & Food Packaging Operator,Job,26.7271,88.3953,8th,3,"cooking; food processing; packaging; hygiene; sorting",14500,22000,20,true,North Bengal Tea Skill Academy,Estate Manager,demo,2026-09-11
OP088,West Bengal,Howrah,Howrah,Howrah Foundry & Engineering Works,Construction,Manual Metal Arc Welder & Fitter,Job,22.5958,88.2636,8th,3,"welding; metal fabrication; machine operation; grinding",16000,25000,22,true,Howrah ITI Training Wing,Workshop Instructor,demo,2026-09-11
OP089,Kerala,Kochi,Kochi,Marine Products Export Authority Unit,Food Processing,Seafood Processing Technician,Job,9.9312,76.2673,8th,3,"food processing; cold chain management; packaging; hygiene",17500,26000,22,true,MPEDA Skill Wing,Quality Head,demo,2026-09-11
OP090,Kerala,Thiruvananthapuram,Thiruvananthapuram,KITTS Ayurvedic & Wellness Hub,Beauty & Wellness,Ayurvedic Spa & Wellness Therapist,Training,8.5241,76.9366,10th,4,"beauty; skin care; therapeutic massage; herb processing",18000,28000,20,true,KITTS Tourism Institute,Director KITTS,demo,2026-09-11
OP091,Kerala,Kozhikode,Kozhikode,Malabar Retail & Supermarket Hub,Retail,Retail Sales Associate,Job,11.2588,75.7804,10th,4,"sales; customer service; billing; communication",15500,23000,16,true,Kerala Academy for Skills (KASE),HR Retail,demo,2026-09-11
OP092,Odisha,Bhubaneswar,Bhubaneswar,Odisha Skill Development Authority,Food Processing,Food Processing Worker,Job,20.2961,85.8245,8th,3,"cooking; food processing; packaging; hygiene; quality testing",15000,23000,20,true,World Skill Center Bhubaneswar,OSDA Officer,demo,2026-09-11
OP093,Odisha,Cuttack,Cuttack,Cuttack Silver Filigree Craft Collective,Handicrafts,Handicraft Artisan,Self-employment support,20.4625,85.8828,8th,3,"handicraft; art; craft; design; jewelry filigree",15000,25000,20,true,Odisha Handicrafts Academy,Craft Master,demo,2026-09-11
OP094,Odisha,Rourkela,Rourkela,Rourkela Steel Plant Allied Fabrication,Construction,Manual Metal Arc Welder,Job,22.2604,84.8536,8th,3,"welding; metal fabrication; grinding; safety operations",16500,26000,18,true,Rourkela Skill Foundation,Lead Welder,demo,2026-09-11
OP095,Gujarat,Ahmedabad,Sanand,Sanand Automotive Assembly Ancillary,Automotive,Automotive Service Technician,Job,23.0225,72.5714,10th,4,"automobile; mechanics; vehicle repair; tools; assembly",18000,29000,20,true,Gujarat Skill Development Mission,Plant HR,demo,2026-09-11
OP096,Gujarat,Surat,Surat,Surat Textile & Diamond Machinery Hub,Apparel,Sewing Machine Operator & Textile Machinist,Job,21.1702,72.8311,8th,3,"tailoring; sewing; stitching; garment making; machine maintenance",16500,25000,30,true,Surat Apparel Training Center,Operations Head,demo,2026-09-11
OP097,Punjab,Ludhiana,Ludhiana,Ludhiana Hosiery & Garment Export Hub,Apparel,Sewing Machine Operator,Job,30.9010,75.8573,8th,3,"tailoring; sewing; stitching; garment making; knits",16500,25000,35,true,Punjab Skill Mission Center,HR Hosiery,demo,2026-09-11
OP098,Punjab,Jalandhar,Jalandhar,Jalandhar Sports Goods & Leather Craft,Handicrafts,Leather Craft Artisan & Stitcher,Self-employment support,31.3260,75.5762,8th,3,"handicraft; art; craft; design; leather goods",15000,24000,20,true,Sports Goods Skill Center,Artisan Incharge,demo,2026-09-11
OP099,Haryana,Gurugram,Manesar,Gurugram Auto Component Manufacturer,Automotive,Automotive Service Technician,Job,28.4595,77.0266,10th,4,"automobile; mechanics; vehicle repair; tools; diagnostics",19000,32000,25,true,Haryana Skill Development Mission,Talent Lead,demo,2026-09-11
